Trial,Time,% in 1,% in 2,% in 3,% in 4
22,5900.0-6000.0,0.0,94.0,0.0,0.0
22,6000.0-6100.0,0.0,100.0,0.0,0.0
24,4700.0-4800.0,0.0,0.0,0.0,81.0
24,4800.0-4900.0,64.0,0.0,0.0,0.0
24,4900.0-5000.0,100.0,0.0,0.0,0.0
24,5000.0-5100.0,75.0,0.0,0.0,0.0
24,5100.0-5200.0,100.0,0.0,0.0,0.0
24,5200.0-5300.0,39.0,0.0,2.0,0.0
24,5300.0-5400.0,0.0,0.0,100.0,0.0
24,5400.0-5500.0,0.0,0.0,100.0,0.0
24,5500.0-5600.0,0.0,0.0,86.0,0.0
24,5600.0-5700.0,0.0,0.0,100.0,0.0
24,5700.0-5800.0,0.0,0.0,100.0,0.0
24,5800.0-5900.0,0.0,0.0,100.0,0.0
24,5900.0-6000.0,0.0,0.0,80.0,0.0
24,6000.0-6100.0,0.0,0.0,100.0,0.0
24,6100.0-6200.0,0.0,0.0,100.0,0.0
24,6200.0-6300.0,0.0,0.0,100.0,0.0
24,6300.0-6400.0,0.0,0.0,68.0,0.0
25,2700.0-2800.0,0.0,0.0,0.0,57.0
25,2800.0-2900.0,0.0,0.0,0.0,0.0
25,2900.0-3000.0,0.0,0.0,69.0,0.0
25,3000.0-3100.0,0.0,0.0,75.0,0.0
25,3100.0-3200.0,0.0,0.0,100.0,0.0
25,3200.0-3300.0,0.0,0.0,92.0,0.0
25,3300.0-3400.0,0.0,0.0,100.0,0.0
25,3400.0-3500.0,0.0,0.0,100.0,0.0
25,3500.0-3600.0,0.0,0.0,60.0,0.0
25,3600.0-3700.0,0.0,0.0,92.0,0.0
25,3700.0-3800.0,0.0,0.0,79.0,0.0
25,3800.0-3900.0,0.0,0.0,100.0,0.0
25,3900.0-4000.0,0.0,0.0,68.0,0.0
25,4000.0-4100.0,0.0,0.0,0.0,64.0
25,4100.0-4200.0,0.0,0.0,0.0,100.0
25,4200.0-4300.0,0.0,0.0,0.0,80.0
25,4300.0-4400.0,0.0,0.0,0.0,97.0
25,4400.0-4500.0,0.0,0.0,1.0,40.0
25,4500.0-4600.0,0.0,0.0,100.0,0.0
25,4600.0-4700.0,0.0,0.0,100.0,0.0
